formula,atom a,atom b,a,b,c,alpha,beta,gamma,bandgap,lowest distortion,vpa,mub,eform oxygen,e_form,e_hull,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
MnEuO3,Mn,Eu,6.143,6.143,6.143,55.3,55.3,55.3,1.5,rhombohedral,14.615,0.6,-4.666,-2.303,0.312,Mn1 Eu1 O3,8,63,55,22.4,17.28,8,25,87,62,67.6,23.28,87,15.9994,151.964,135.9646,50.980049,41.9767788,15.9994,54.8,1519,1464.2,555.68,601.056,54.8,3,16,13,11.6,5.28,16,2,6,4,3.2,1.44,2,66,198,132,107,49.2,66,1.185,3.44,2.255,2.611,0.9948,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,7,7,1.4,2.24,0,6,9,3,6.8,0.96,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,7,7,1.4,2.24,0,2,7,5,3.6,1.92,2,9.105,36.46,27.355,14.85251724,8.642993103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,229,217,96.4,101.28,12,Mn3+1 Eu3+1 O2-3,-2,3,5,3.273268354
TmTlO3,Tm,Tl,5.48,5.825,8.656,90,90,90,0.887,orthorhombic,13.813,0,0.355,-2.301,0.133,Tm1 Tl1 O3,8,81,73,34.8,32.16,8,37,87,50,74.8,15.12,87,15.9994,204.3833,188.3839,84.263142,81.9164904,15.9994,54.8,1818,1763.2,511.88,548.496,54.8,3,16,13,12.8,3.92,16,2,6,4,3.6,1.92,2,66,190,124,106.6,48.72,66,1.25,3.44,2.19,2.638,0.9624,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,10,10,2,3.2,0,0,14,14,5.4,6.48,0,6,27,21,12,7.2,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,0,0,0,0,0,0,1,1,0.2,0.32,0,1,5,4,2.4,1.04,2,9.105,29.78,20.675,16.801,9.2352,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Tm3+1 Tl3+1 O2-3,-2,3,5,3.273268354
SmUO3,Sm,U,4.845,4.845,4.845,90,90,90,0,cubic,22.751,0.581,-1.117,-2.301,1.269,Sm1 U1 O3,8,92,84,35.6,33.12,8,20,87,67,60.8,31.44,87,15.9994,238.02891,222.02951,87.277422,85.5336264,15.9994,54.8,1408,1353.2,583.48,634.416,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,198,132,118.4,62.88,66,1.17,3.44,2.27,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,6,6,1.8,2.16,0,6,8,2,6.4,0.64,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,11,11,3.8,4.56,0,2,20,18,6.8,5.76,2,9.105,33.23,24.125,16.114,8.4108,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,53,49.2,12,Sm3+1 U3+1 O2-3,-2,3,5,3.273268354
NaYO3,Na,Y,6.06,6.126,7.015,90,90,90,2.772,orthorhombic,13.021,0,-1.333,-2.301,0.19,Na1 Y1 O3,8,39,31,14.8,9.68,8,2,87,85,55,38.4,87,15.9994,88.90585,72.90645,31.97876386,22.77083446,15.9994,54.8,1799,1744.2,466.854,532.8584,54.8,1,16,15,10.4,6.72,16,2,5,3,2.8,0.96,2,66,190,124,110.8,53.76,66,0.93,3.44,2.51,2.494,1.1352,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,1,6,5,4.4,1.92,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,1,9,8,3.2,2.32,2,9.105,32.365,23.26,17.78466667,10.4156,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Na0+1 Y0+1 O0+3,0,0,0,0
LuTlO3,Lu,Tl,5.447,5.792,8.636,90,90,90,1.053,orthorhombic,13.621,0,0.315,-2.3,0.149,Lu1 Tl1 O3,8,81,73,35.2,32.64,8,41,87,46,75.6,13.84,87,15.9994,204.3833,188.3839,85.46966,83.364312,15.9994,54.8,1936,1881.2,535.48,576.816,54.8,3,16,13,12.8,3.92,16,2,6,4,3.6,1.92,2,66,187,121,106,48,66,1.27,3.44,2.17,2.642,0.9576,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,10,10,2.2,3.12,0,0,14,14,5.6,6.72,0,6,27,21,12.4,7.68,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,2,9,7,4,2.4,2,9.105,28.865,19.76,16.618,9.0156,9.105,0,0,0,0,0,0,0,0.0022471,0.0022471,0.00044942,0.000719072,0,12,194,182,84.8,87.36,12,Lu3+1 Tl3+1 O2-3,-2,3,5,3.273268354
TmYbO3,Tm,Yb,4.086,4.086,4.086,90,90,90,0,cubic,13.643,-0.126,-2.262,-2.299,1.07,Tm1 Yb1 O3,8,70,62,32.6,29.52,8,37,87,50,67.4,23.52,87,15.9994,173.054,157.0546,77.997282,74.3974584,15.9994,54.8,1818,1763.2,614.88,672.096,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,190,124,115,58.8,66,1.25,3.44,2.19,2.566,1.0488,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,14,14,5.4,6.48,0,6,16,10,9.8,4.56,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,1,1,0.2,0.32,0,0,2,2,1.4,0.72,2,9.105,34.12,25.015,18.243,10.9656,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Tm3+1 Yb3+1 O2-3,-2,3,5,3.273268354
LiVO3,Li,V,3.608,3.608,4.312,90,90,90,0.815,tetragonal,11.23,0,2.005,-2.299,0.074,Li1 V1 O3,3,23,20,10,5.2,8,1,87,86,61.6,30.48,87,6.941,50.9415,44.0005,21.17614,11.906144,15.9994,54.8,2183,2128.2,560.218,649.1128,54.8,1,16,15,10.8,6.24,16,2,4,2,2.4,0.64,2,66,153,87,95.8,35.76,66,0.98,3.44,2.46,2.586,1.0248,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,3,3,0.6,0.96,0,0,0,0,0,0,0,1,6,5,4.8,1.52,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,7,7,1.4,2.24,0,0,0,0,0,0,0,1,7,6,2.8,1.68,2,9.105,16.59333333,7.488333333,11.38366667,2.7344,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,Li+1 V5+1 O2-3,-2,5,7,3.683941988
BiThO3,Bi,Th,4.571,4.571,4.571,90,90,90,0,cubic,19.106,0,1.158,-2.299,0.735,Bi1 Th1 O3,8,90,82,39.4,37.68,8,16,87,71,72.6,22.64,87,15.9994,232.03806,216.03866,97.803332,98.1647184,15.9994,54.8,2023,1968.2,546.36,590.656,54.8,3,16,13,13.2,4.08,16,2,7,5,3.8,2.16,2,66,206,140,110.4,53.28,66,1.3,3.44,2.14,2.728,0.8544,3.44,2,2,0,2,0,2,0,4,4,3,1.2,4,0,10,10,2.4,3.04,0,0,14,14,2.8,4.48,0,4,29,25,10.2,7.52,6,0,0,0,0,0,0,0,3,3,1.8,0.72,2,0,8,8,1.6,2.56,0,0,0,0,0,0,0,2,8,6,3.4,1.84,2,9.105,32.95,23.845,18.527,11.3064,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,54.6,68.16,12,Bi2+1 Th4+1 O2-3,-2,4,6,3.380617019
SmAcO3,Sm,Ac,4.665,4.665,4.665,90,90,90,0,cubic,20.308,0,1.391,-2.298,1.342,Sm1 Ac1 O3,8,89,81,35,32.4,8,14,87,73,59.6,32.88,87,15.9994,227,211.0006,85.07164,82.886688,15.9994,54.8,1345,1290.2,566.48,614.016,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,215,149,122.2,67.44,66,1.1,3.44,2.34,2.518,1.1064,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,6,6,1.2,1.92,0,3,8,5,5.8,1.12,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,8,8,1.6,2.56,0,2,9,7,4.6,3.12,2,9.105,44.5125,35.4075,21.0115,14.2878,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,85.4,88.08,12,Sm3+1 Ac3+1 O2-3,-2,3,5,3.273268354
BaEuO3,Ba,Eu,6.296,6.422,8.729,90,90,90,0,orthorhombic,17.647,0.4,-0.631,-2.298,0.331,Ba1 Eu1 O3,8,63,55,28.6,24.72,8,9,87,78,59,33.6,87,15.9994,151.964,135.9646,67.45784,61.750128,15.9994,54.8,1095,1040.2,451.88,476.496,54.8,2,16,14,10.6,6.48,16,2,6,4,3.6,1.92,2,66,215,149,122.2,67.44,66,0.89,3.44,2.55,2.479,1.1532,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,7,7,1.4,2.24,0,2,9,7,5.8,1.52,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,7,7,1.4,2.24,0,0,7,7,2.6,1.76,2,9.105,63.59,54.485,25.473,19.6416,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,Ba0+1 Eu0+1 O0+3,0,0,0,0
