formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
MnEuO3,Mn,Eu,rhombohedral,-2.303,0.312,0.6,14.615,1.5,6.143,6.143,6.143,55.3,55.3,55.3,-4.666,Mn1 Eu1 O3,8.0,63.0,55.0,22.4,17.28,8.0,25.0,87.0,62.0,67.6,23.28,87.0,15.9994,151.964,135.9646,50.980049,41.9767788,15.9994,54.8,1519.0,1464.2,555.68,601.056,54.8,3.0,16.0,13.0,11.6,5.28,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,107.0,49.2,66.0,1.185,3.44,2.255,2.611,0.9948,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,7.0,7.0,1.4,2.24,0.0,6.0,9.0,3.0,6.8,0.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,7.0,7.0,1.4,2.24,0.0,2.0,7.0,5.0,3.6,1.92,2.0,9.105,36.46,27.355,14.85251724,8.642993103,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310121,0.000310121,6.2e-05,9.92e-05,0.0,12.0,229.0,217.0,96.4,101.28,12.0,Mn3+1 Eu3+1 O2-3,-2.0,3.0,5.0,3.273268354
TmTlO3,Tm,Tl,orthorhombic,-2.301,0.133,0.0,13.813,0.887,5.48,5.825,8.656,90.0,90.0,90.0,0.355,Tm1 Tl1 O3,8.0,81.0,73.0,34.8,32.16,8.0,37.0,87.0,50.0,74.8,15.12,87.0,15.9994,204.3833,188.3839,84.263142,81.9164904,15.9994,54.8,1818.0,1763.2,511.88,548.496,54.8,3.0,16.0,13.0,12.8,3.92,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,190.0,124.0,106.6,48.72,66.0,1.25,3.44,2.19,2.638,0.9624,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.68,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,5.4,6.48,0.0,6.0,27.0,21.0,12.0,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.32,0.0,1.0,5.0,4.0,2.4,1.04,2.0,9.105,29.78,20.675,16.801,9.2352,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.36,12.0,Tm3+1 Tl3+1 O2-3,-2.0,3.0,5.0,3.273268354
SmUO3,Sm,U,cubic,-2.301,1.269,0.581,22.751,0.0,4.845,4.845,4.845,90.0,90.0,90.0,-1.117,Sm1 U1 O3,8.0,92.0,84.0,35.6,33.12,8.0,20.0,87.0,67.0,60.8,31.44,87.0,15.9994,238.02891,222.02951,87.277422,85.5336264,15.9994,54.8,1408.0,1353.2,583.48,634.416,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,198.0,132.0,118.4,62.88,66.0,1.17,3.44,2.27,2.574,1.0392,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,6.0,6.0,1.8,2.16,0.0,6.0,8.0,2.0,6.4,0.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,11.0,11.0,3.8,4.56,0.0,2.0,20.0,18.0,6.8,5.76,2.0,9.105,33.23,24.125,16.114,8.4108,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,53.0,49.2,12.0,Sm3+1 U3+1 O2-3,-2.0,3.0,5.0,3.273268354
NaYO3,Na,Y,orthorhombic,-2.301,0.19,0.0,13.021,2.772,6.06,6.126,7.015,90.0,90.0,90.0,-1.333,Na1 Y1 O3,8.0,39.0,31.0,14.8,9.68,8.0,2.0,87.0,85.0,55.0,38.4,87.0,15.9994,88.90585,72.90645,31.97876386,22.77083446,15.9994,54.8,1799.0,1744.2,466.854,532.8584,54.8,1.0,16.0,15.0,10.4,6.72,16.0,2.0,5.0,3.0,2.8,0.96,2.0,66.0,190.0,124.0,110.8,53.76,66.0,0.93,3.44,2.51,2.494,1.1352,3.44,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.4,1.92,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.2,2.32,2.0,9.105,32.365,23.26,17.78466667,10.4156,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.76,12.0,Na0+1 Y0+1 O0+3,0.0,0.0,0.0,0.0
LuTlO3,Lu,Tl,orthorhombic,-2.3,0.149,0.0,13.621,1.053,5.447,5.792,8.636,90.0,90.0,90.0,0.315,Lu1 Tl1 O3,8.0,81.0,73.0,35.2,32.64,8.0,41.0,87.0,46.0,75.6,13.84,87.0,15.9994,204.3833,188.3839,85.46966,83.364312,15.9994,54.8,1936.0,1881.2,535.48,576.816,54.8,3.0,16.0,13.0,12.8,3.92,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,187.0,121.0,106.0,48.0,66.0,1.27,3.44,2.17,2.642,0.9576,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.68,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,14.0,14.0,5.6,6.72,0.0,6.0,27.0,21.0,12.4,7.68,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.0,2.4,2.0,9.105,28.865,19.76,16.618,9.0156,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,12.0,194.0,182.0,84.8,87.36,12.0,Lu3+1 Tl3+1 O2-3,-2.0,3.0,5.0,3.273268354
TmYbO3,Tm,Yb,cubic,-2.299,1.07,-0.126,13.643,0.0,4.086,4.086,4.086,90.0,90.0,90.0,-2.262,Tm1 Yb1 O3,8.0,70.0,62.0,32.6,29.52,8.0,37.0,87.0,50.0,67.4,23.52,87.0,15.9994,173.054,157.0546,77.997282,74.3974584,15.9994,54.8,1818.0,1763.2,614.88,672.096,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,190.0,124.0,115.0,58.8,66.0,1.25,3.44,2.19,2.566,1.0488,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,5.4,6.48,0.0,6.0,16.0,10.0,9.8,4.56,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.4,0.72,2.0,9.105,34.12,25.015,18.243,10.9656,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,Tm3+1 Yb3+1 O2-3,-2.0,3.0,5.0,3.273268354
LiVO3,Li,V,tetragonal,-2.299,0.074,0.0,11.23,0.815,3.608,3.608,4.312,90.0,90.0,90.0,2.005,Li1 V1 O3,3.0,23.0,20.0,10.0,5.2,8.0,1.0,87.0,86.0,61.6,30.48,87.0,6.941,50.9415,44.0005,21.17614,11.906144,15.9994,54.8,2183.0,2128.2,560.218,649.1128,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,4.0,2.0,2.4,0.64,2.0,66.0,153.0,87.0,95.8,35.76,66.0,0.98,3.44,2.46,2.586,1.0248,3.44,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,7.0,7.0,1.4,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.8,1.68,2.0,9.105,16.59333333,7.488333333,11.38366667,2.7344,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0,Li+1 V5+1 O2-3,-2.0,5.0,7.0,3.683941988
BiThO3,Bi,Th,cubic,-2.299,0.735,0.0,19.106,0.0,4.571,4.571,4.571,90.0,90.0,90.0,1.158,Bi1 Th1 O3,8.0,90.0,82.0,39.4,37.68,8.0,16.0,87.0,71.0,72.6,22.64,87.0,15.9994,232.03806,216.03866,97.803332,98.1647184,15.9994,54.8,2023.0,1968.2,546.36,590.656,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,206.0,140.0,110.4,53.28,66.0,1.3,3.44,2.14,2.728,0.8544,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.4,3.04,0.0,0.0,14.0,14.0,2.8,4.48,0.0,4.0,29.0,25.0,10.2,7.52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.4,1.84,2.0,9.105,32.95,23.845,18.527,11.3064,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,54.6,68.16,12.0,Bi2+1 Th4+1 O2-3,-2.0,4.0,6.0,3.380617019
SmAcO3,Sm,Ac,cubic,-2.298,1.342,0.0,20.308,0.0,4.665,4.665,4.665,90.0,90.0,90.0,1.391,Sm1 Ac1 O3,8.0,89.0,81.0,35.0,32.4,8.0,14.0,87.0,73.0,59.6,32.88,87.0,15.9994,227.0,211.0006,85.07164,82.886688,15.9994,54.8,1345.0,1290.2,566.48,614.016,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,215.0,149.0,122.2,67.44,66.0,1.1,3.44,2.34,2.518,1.1064,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,6.0,6.0,1.2,1.92,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,9.0,7.0,4.6,3.12,2.0,9.105,44.5125,35.4075,21.0115,14.2878,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,Sm3+1 Ac3+1 O2-3,-2.0,3.0,5.0,3.273268354
BaEuO3,Ba,Eu,orthorhombic,-2.298,0.331,0.4,17.647,0.0,6.296,6.422,8.729,90.0,90.0,90.0,-0.631,Ba1 Eu1 O3,8.0,63.0,55.0,28.6,24.72,8.0,9.0,87.0,78.0,59.0,33.6,87.0,15.9994,151.964,135.9646,67.45784,61.750128,15.9994,54.8,1095.0,1040.2,451.88,476.496,54.8,2.0,16.0,14.0,10.6,6.48,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,215.0,149.0,122.2,67.44,66.0,0.89,3.44,2.55,2.479,1.1532,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.4,2.24,0.0,2.0,9.0,7.0,5.8,1.52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.4,2.24,0.0,0.0,7.0,7.0,2.6,1.76,2.0,9.105,63.59,54.485,25.473,19.6416,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0,Ba0+1 Eu0+1 O0+3,0.0,0.0,0.0,0.0
